recipe_name,ingredients,matched_ingredients
Mulligatawny Soup,"Chicken, rice, celery, apple, butter, flour","chicken, rice, celery, white, flour, butter"
Waldorf Salad,"Apples, celery, walnuts, raisins, mayonnaise, lemon juice","lemon juice, raisins, celery, white, walnuts, mayonnaise"
Pork Tenderloin,"Pork, onions, apple, chicken stock, butter","onions, vegetable, chicken, butter, fresh"
Classic Rice Pudding,"Rice, milk, sugar, butter, cherries, egg","butter, rice, white, cherries"
Cherry Chicken Salad,"Chicken, cherries, celery, pecans, mayonnaise, buttermilk","chicken, cherries, pecans, celery, buttermilk, butter"
Bing Cherry Salad,"Cherries, pineapple, cream cheese, pecans, soda","pineapple, cream cheese, cherries, pecans, cheese"
Cherry Chicken,"Chicken, cherries, almonds, cornstarch, sugar","cornstarch, vegetable, chicken, cherries, white, flour"
Fig and Arugula Salad,"Arugula, figs, parmesan cheese, honey, vinegar","figs, honey, fresh, cheese"
Chicken Thighs with Figs,"Chicken thighs, figs, olive oil, rosemary, broth","mince, chicken, figs, olive oil, fresh"
Pear-Fig Salad,"Lettuce, figs, pear, pecans, cheese, olive oil","pecans, lettuce, figs, cheese, olive oil, fresh"
Chicken Tenders,"Chicken, flour, olive oil, butter","chicken, butter, olive oil, flour"
Orange Fig Salad,"Lettuce, oranges, gorgonzola cheese, figs","figs, fresh, lettuce, cheese"
Prosciutto Chicken,"Chicken, prosciutto, goat cheese, figs, basil","mince, ices, fresh, chicken, cream cheese, figs"
Prosciutto Pasta Sauce,"Prosciutto, figs, milk, butter, flour","ices, flour, figs, butter, fresh"
Arugula Fig Salad,"Arugula, olive oil, lemon juice, orange juice","lemon juice, orange juice, olive oil"
Tomato Watermelon Salad,"Watermelon, tomatoes, feta cheese, onion, mint","watermelon, white, tomatoes, olive oil, cheese"
Cucumber Watermelon Salad,"Watermelon, cucumber, feta cheese, mint, lime","cucumbers, watermelon, olive oil, cheese"
Refreshing Watermelon Salad,"Watermelon, cucumber, feta cheese, cilantro, onion","watermelon, fresh, cheese"
Watermelon Soup,"Watermelon, lemon juice, mint, honey","honey, watermelon, lemon juice, fresh"
Watermelon Spinach Salad,"Watermelon, spinach, arugula, feta cheese, onion","watermelon, spinach, white, tomatoes, olive oil, cheese"
Herb Watermelon Salad,"Watermelon, basil, cilantro, mint, feta cheese","mince, watermelon, cheese, olive oil, fresh"
Summer Fruit Salad,"Watermelon, strawberries, peaches, grapes, honey","mince, grapes, strawberries, watermelon, honey, peaches"
Watermelon Goat Cheese Salad,"Watermelon, goat cheese, hazelnuts, olive oil","watermelon, honey, lemon juice, olive oil, cheese"
Watermelon Summer Salad,"Watermelon, feta cheese, olives, mint","watermelon, fresh, olive oil, cheese"
Avocado Watermelon Salad,"Watermelon, spinach, avocado, walnuts, lime","watermelon, spinach, olive oil, fresh, avocado"
Chilled Cantaloupe Soup,"Cantaloupe, orange juice, lime juice, cinnamon","orange juice, fresh, cantaloupe"
Watermelon Blue Cheese Salad,"Watermelon, blue cheese, onion, mint","watermelon, white, cheese, olive oil, fresh"
Mojito Fruit Salad,"Watermelon, grapes, cantaloupe, strawberries, blueberries","strawberries, grapes, watermelon, blueberries, white, cantaloupe"
Perfect Summer Fruit Salad,"Orange juice, lemon juice, sugar, vanilla","orange juice, lemon juice, fresh"
Famous Chicken Francaise,"Chicken, flour, butter, lemon, parsley, broth","ices, chicken, parsley, flour, butter, fresh"
Frog Eye Salad,"Pasta, pineapple, oranges, marshmallow, egg, coconut","pineapple, vegetable, marshmallows, lemon juice, frozen , white"
Lobster Tails,"Lobster, butter, garlic, lemon, parsley","lobster, butter, fresh, parsley"
Baked Fish Fillets,"Mackerel, butter, lemon juice, paprika","vegetable, butter, lemon juice, mackerel"
Grilled Lemongrass Chicken,"Chicken, lemongrass, soy sauce, garlic, sugar","chicken, mince, lemon juice"
Lemon Chicken Orzo Soup,"Chicken, orzo, carrots, celery, spinach, lemon","mince, fresh, chicken, lemon juice, spinach, celery"
Greek Lemon Chicken Soup,"Chicken, rice, lemon, eggs, broth","ices, fresh, chicken soup, lemon juice, chicken, rice"
Orange Gelatin Salad,"Oranges, pineapple, cottage cheese, whipped topping","pineapple, frozen , cheese"
Quick and Easy Chicken,"Chicken, ketchup, soy sauce, lemon juice, sugar","chicken, lemon juice, white, olive oil"
Pan-Fried Shrimp,"Shrimp, butter, lemon juice, garlic","shrimp, butter, lemon juice"
Chicken Lemon Caper,"Chicken, capers, lemon juice, butter, wine","chicken, lemon juice, white, flour, butter, olive oil"
Roast Chicken,"Chicken, lemon, rosemary, olive oil, wine","chicken, white, olive oil, fresh"
Roasted Eggplant,"Eggplant, olive oil, lemon juice","lemon juice, fresh, olive oil, eggplant"
Lemon Garlic Chicken,"Chicken, garlic, butter, lemon juice, parsley","mince, bouillon, chicken, lemon juice, parsley, butter"
